Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,cluster,distance,is_anomaly,model_used
2024-02-29,179.97755459220346,181.26828866128915,178.2499552858893,179.4612579345703,136682600,-0.006794269111823015,181.2058779351597,185.57172359852427,0.007686997408992962,52.3912032004809,-1.580530832308142,-1.1986295955904018,"[179.97755459220346,136682600.0,-0.006794269111823015,185.57172359852427,0.007686997408992962,52.3912032004809,-1.580530832308142,-1.1986295955904018]","[-1.4878784675900671,2.742329883532921,-0.37491919705157445,-1.2221246456139352,-0.8844467162840687,-0.11625095044086184,-0.615392176881034,-0.5380990358043501]",3,2.7348940390279877,1,kmeans
2024-03-01,178.26981201401622,179.24282037465971,176.11528592616577,178.3790283203125,73563100,-0.009488641970142764,180.8668817818243,185.36312674793535,0.007877384851887279,48.935952348281994,-1.7644175569196534,-1.3117871878562521,"[178.26981201401622,73563100.0,-0.009488641970142764,185.36312674793535,0.007877384851887279,48.935952348281994,-1.7644175569196534,-1.3117871878562521]","[-1.5645597114934933,0.564875422571461,-0.5076983916879094,-1.232020764105096,-0.8669554397171565,-0.3987205019665398,-0.664117183345404,-0.5704613314055227]",3,0.9685493658946377,1,kmeans
2024-03-04,174.89406399657693,175.63871657984365,172.55088992856452,173.8515625,81510100,-0.018936173092356623,179.82720568407407,184.93491144117672,0.008846878875598653,42.911382851063784,-2.15767147010709,-1.4809640443064198,"[174.89406399657693,81510100.0,-0.018936173092356623,184.93491144117672,0.008846878875598653,42.911382851063784,-2.15767147010709,-1.4809640443064198]","[-1.7161379179445766,0.8390257343017617,-0.9732744792126149,-1.252335881056518,-0.7778860775737858,-0.8912339306027024,-0.7683188297811533,-0.618844752506024]",3,1.388073302115961,1,kmeans
2024-03-05,169.5424796657224,170.8133520831047,168.41060844555398,168.90704345703125,95132400,-0.03059900495513257,177.80600565320736,184.23014110724586,0.011020856945009216,35.45862656589874,-2.8680945513322627,-1.7583901457115885,"[169.5424796657224,95132400.0,-0.03059900495513257,184.23014110724586,0.011020856945009216,35.45862656589874,-2.8680945513322627,-1.7583901457115885]","[-1.956435342501159,1.3089587645627,-1.548020998476506,-1.285771144886936,-0.5781583482425511,-1.5005027841682899,-0.9565617238686113,-0.6981867155274873]",3,2.253736585833423,1,kmeans
2024-03-06,169.8403395327639,170.01906401050476,167.47730408815008,167.91416931152344,68587700,0.0017568450551670445,176.22024939765168,183.4453940302427,0.011179013576154303,36.12359219101715,-3.3682480922281,-2.080361735014891,"[169.8403395327639,68587700.0,0.0017568450551670445,183.4453940302427,0.011179013576154303,36.12359219101715,-3.3682480922281,-2.080361735014891]","[-1.9430608061949342,0.3932373879693547,0.046481296510535376,-1.323000614256632,-0.5636281810519269,-1.4461413065384807,-1.0890888791856284,-0.790268382692452]",3,1.3204824897046932,1,kmeans
2024-03-07,167.9439378530283,169.5126741160914,167.2886552317426,167.79501342773438,71765100,-0.011165790677012621,174.52527473728,182.58421243532874,0.0112306304483414,33.74011718317357,-3.873001591971814,-2.438889706406276,"[167.9439378530283,71765100.0,-0.011165790677012621,182.58421243532874,0.0112306304483414,33.74011718317357,-3.873001591971814,-2.438889706406276]","[-2.0282132416966787,0.5028492163941511,-0.590348591305205,-1.3638562411829966,-0.5588860353871802,-1.640992316012881,-1.2228348991328797,-0.8928049245110279]",3,1.6556635393545593,1,kmeans
2024-03-08,167.79503440936114,172.4615205019895,167.73546463179477,169.5126953125,76267000,-0.000886625891775128,172.60903172338178,181.72467776711716,0.01122456015423902,33.55291580892268,-4.236205302753319,-2.7983528256756847,"[167.79503440936114,76267000.0,-0.000886625891775128,181.72467776711716,0.01122456015423902,33.55291580892268,-4.236205302753319,-2.7983528256756847]","[-2.0348993203994903,0.6581527634406645,-0.08378944248377704,-1.4046337356651413,-0.5594437254920164,-1.6562961797529008,-1.3190740550213749,-0.9956089122115234]",3,1.695760469850213,1,kmeans
2024-03-11,171.7069430151515,173.13667826239134,170.8232893067872,171.51829528808594,60139500,0.02331361365704465,171.4275157838029,181.0269406844659,0.013587655546059752,42.56827344937802,-4.16042968535092,-3.0707681976107315,"[171.7069430151515,60139500.0,0.02331361365704465,181.0269406844659,0.013587655546059752,42.56827344937802,-4.16042968535092,-3.0707681976107315]","[-1.859246372607476,0.10179701253712524,1.1088028549692668,-1.4377353324826365,-0.3423414081124177,-0.9192834016727243,-1.2989955667260735,-1.073517840957137]",3,1.6640109984264042,1,kmeans
2024-03-12,171.91544162555573,172.7891721100731,169.79070034274764,171.994873046875,59825400,0.0012142701206079298,170.51974858545142,180.41085356292845,0.013597516097003689,43.0120752119177,-4.037016652250145,-3.264017888538614,"[171.91544162555573,59825400.0,0.0012142701206079298,180.41085356292845,0.013597516097003689,43.0120752119177,-4.037016652250145,-3.264017888538614]","[-1.849884345214036,0.09096139998968752,0.019743103012866203,-1.4669633440197227,-0.34143549950289737,-0.8830022486701545,-1.2662944522311212,-1.1287859276795051]",3,1.1569974471406503,1,kmeans
2024-03-13,171.53815729817867,171.95516088785195,169.54247886546352,169.90985107421875,52488700,-0.0021945924334058065,170.0403333428231,179.8175589118516,0.013171144348866333,42.37397825600552,-3.9244163971357295,-3.3960975902580377,"[171.53815729817867,52488700.0,-0.0021945924334058065,179.8175589118516,0.013171144348866333,42.37397825600552,-3.9244163971357295,-3.3960975902580377]","[-1.8668252073194067,-0.16213518892080675,-0.1482462764637992,-1.4951100497377254,-0.3806071279129081,-0.9351671908629063,-1.2364584313333074,-1.1665598168580278]",3,1.2321261227786457,1,kmeans
